"","PARTICIPANTID","variable","value","Type","Instrument","Mode1","Background","Gender","Mode"
"185","MKHHSN0808191330","PCH MJ-CRM","Chrom.","Chord","Setar","MJ-CRM","Khow","Male","MJ-CRM"
"186","MKHISL0808191645","PCH MJ-CRM","Chrom.","Chord","Setar","MJ-CRM","Khow","Male","MJ-CRM"
"187","MKANS2607191200","PCH MJ-CRM","Major","Arpeg","Setar","MJ-CRM","Kalash","Male","MJ-CRM"
"188","MKAAKH2707191615","PCH MJ-CRM","Chrom.","Arpeg","Setar","MJ-CRM","Kalash","Male","MJ-CRM"
"189","MKASZD3007190930","PCH MJ-CRM","Major","Arpeg","Setar","MJ-CRM","Kalash","Male","MJ-CRM"
"190","MKHISQ0708191130","PCH MJ-CRM","Chrom.","Arpeg","Setar","MJ-CRM","Khow","Male","MJ-CRM"
"191","MKHZHR1008191230","PCH MJ-CRM","Chrom.","Arpeg","Setar","MJ-CRM","Khow","Male","MJ-CRM"
"192","MKHWL1108191030","PCH MJ-CRM","Major","Arpeg","Setar","MJ-CRM","Khow","Male","MJ-CRM"
"193","MKHMHD0808191100","PCH MJ-CRM","Chrom.","Chord","Piano","MJ-CRM","Khow","Male","MJ-CRM"
"194","MKARMD0408190945","PCH MJ-CRM","Chrom.","Chord","Piano","MJ-CRM","Kalash","Male","MJ-CRM"
"195","MKHNZR1908191345","PCH MJ-CRM","Major","Chord","Piano","MJ-CRM","Khow","Male","MJ-CRM"
"196","MKHISF1408191130","PCH MJ-CRM","Major","Chord","Piano","MJ-CRM","Khow","Male","MJ-CRM"
"197","MKHRFQ1308191515","PCH MJ-CRM","Chrom.","Chord","Piano","MJ-CRM","Khow","Male","MJ-CRM"
"198","UK629335_1","PCH MJ-CRM","Major","Chord","Piano","MJ-CRM","UK","Male","MJ-CRM"
"199","UK337940_2","PCH MJ-CRM","Major","Arpeg","Piano","MJ-CRM","UK","Female","MJ-CRM"
"200","UK395228_2","PCH MJ-CRM","Major","Arpeg","Piano","MJ-CRM","UK","Female","MJ-CRM"
"201","UK523822_2","PCH MJ-CRM","Major","Arpeg","Piano","MJ-CRM","UK","Female","MJ-CRM"
"202","UK123046_2","PCH MJ-CRM","Major","Arpeg","Piano","MJ-CRM","UK","Female","MJ-CRM"
"203","UK499949_1","PCH MJ-CRM","Major","Arpeg","Piano","MJ-CRM","UK","Male","MJ-CRM"
"204","UK464301_1","PCH MJ-CRM","Major","Arpeg","Piano","MJ-CRM","UK","Male","MJ-CRM"
"205","UK361432_2","PCH MJ-CRM","Major","Chord","Setar","MJ-CRM","UK","Female","MJ-CRM"
"206","UK440729_2","PCH MJ-CRM","Major","Chord","Setar","MJ-CRM","UK","Female","MJ-CRM"
"207","UK386152_1","PCH MJ-CRM","Major","Chord","Setar","MJ-CRM","UK","Male","MJ-CRM"
"208","UK468521_2","PCH MJ-CRM","Major","Chord","Setar","MJ-CRM","UK","Female","MJ-CRM"
"209","UK490419_1","PCH MJ-CRM","Major","Chord","Setar","MJ-CRM","UK","Male","MJ-CRM"
"210","UK207435_2","PCH MJ-CRM","Major","Chord","Setar","MJ-CRM","UK","Female","MJ-CRM"
"211","UK130640_1","PCH MJ-CRM","Major","Arpeg","Setar","MJ-CRM","UK","Male","MJ-CRM"
"212","UK328998_2","PCH MJ-CRM","Major","Arpeg","Setar","MJ-CRM","UK","Female","MJ-CRM"
